osm_type,id,categoria,lat,lon,name,sin_nombre
node,10984527769,luminaria,4.7084051,-74.055067,Sin registro,True
node,10984527770,luminaria,4.7086238,-74.0550312,Sin registro,True
node,10984527771,luminaria,4.708862,-74.0549898,Sin registro,True
node,10984527772,luminaria,4.7073779,-74.0557661,Sin registro,True
node,10984567584,luminaria,4.7077689,-74.0552236,Sin registro,True
node,10984567585,luminaria,4.707791,-74.055356,Sin registro,True
node,10984567586,luminaria,4.7079163,-74.05534,Sin registro,True
node,10984567593,luminaria,4.7080342,-74.0542124,Sin registro,True
node,10984567595,luminaria,4.708094,-74.054592,Sin registro,True
node,10984567596,luminaria,4.7083222,-74.0545511,Sin registro,True
node,10984567597,luminaria,4.7085414,-74.0545185,Sin registro,True
node,10988318858,luminaria,4.7087132,-74.0555399,Sin registro,True
node,10988318860,luminaria,4.7090506,-74.0558299,Sin registro,True
node,10988318862,luminaria,4.7090837,-74.0560424,Sin registro,True
node,10988318866,luminaria,4.7091236,-74.0562532,Sin registro,True
node,10988318870,luminaria,4.7091756,-74.0565428,Sin registro,True
node,10988318873,luminaria,4.7091018,-74.0566104,Sin registro,True
node,10988318876,luminaria,4.7088559,-74.0566499,Sin registro,True
node,10988320413,luminaria,4.7085717,-74.0567008,Sin registro,True
node,10988320419,luminaria,4.7082707,-74.0567513,Sin registro,True
node,10988320425,luminaria,4.7079842,-74.0568017,Sin registro,True
node,10988320432,luminaria,4.7076956,-74.0568495,Sin registro,True
node,10988320460,luminaria,4.7074256,-74.0565262,Sin registro,True
node,10988320465,luminaria,4.7073774,-74.0562267,Sin registro,True
node,10988320477,luminaria,4.7073256,-74.0559439,Sin registro,True
node,10988320479,luminaria,4.7076598,-74.0557219,Sin registro,True
node,10988320480,luminaria,4.7078877,-74.0556816,Sin registro,True
node,10988320481,luminaria,4.7079192,-74.055708,Sin registro,True
node,10988320484,luminaria,4.7080262,-74.0556891,Sin registro,True
node,10988320486,luminaria,4.708214,-74.0556267,Sin registro,True
node,10988320489,luminaria,4.708437,-74.0555896,Sin registro,True
node,10988320499,luminaria,4.7085624,-74.0560609,Sin registro,True
node,10988320504,luminaria,4.7086075,-74.0562938,Sin registro,True
node,10988357510,luminaria,4.7086464,-74.0565298,Sin registro,True
node,11012655684,luminaria,4.7082808,-74.0580822,Sin registro,True
node,11012675608,luminaria,4.7089718,-74.0579608,Sin registro,True
node,11012675613,luminaria,4.7090006,-74.0578951,Sin registro,True
node,11012675621,luminaria,4.708909,-74.0581097,Sin registro,True
node,11012675622,luminaria,4.708761,-74.0578227,Sin registro,True
node,11012675636,luminaria,4.708619,-74.0581258,Sin registro,True
node,11012675637,luminaria,4.7084953,-74.0581217,Sin registro,True
node,11012675638,luminaria,4.708504,-74.0579347,Sin registro,True
node,11012675639,luminaria,4.7086256,-74.057938,Sin registro,True
node,11012675650,luminaria,4.7086049,-74.0576074,Sin registro,True
node,11012675677,luminaria,4.7082875,-74.0581425,Sin registro,True
node,11012675678,luminaria,4.7083363,-74.0579025,Sin registro,True
node,11012675687,luminaria,4.708087,-74.0579789,Sin registro,True
node,11012675705,luminaria,4.707934,-74.0581217,Sin registro,True
node,11012675715,luminaria,4.7080355,-74.0581707,Sin registro,True
node,11012675735,luminaria,4.7083717,-74.0583645,Sin registro,True
node,11012675749,luminaria,4.7084631,-74.0585755,Sin registro,True
node,11012675768,luminaria,4.7084953,-74.0583122,Sin registro,True
node,11012675769,luminaria,4.7086063,-74.0583108,Sin registro,True
node,11012675796,luminaria,4.7089504,-74.0582565,Sin registro,True
